group,sample,read_1,read_2
,HelaCtrl_1,/mnt/d/PI/nextflow/nxf-clone/data/in4611_60_S255_L006_R1_001.fastq.gz,/mnt/d/PI/nextflow/nxf-clone/data/in4611_60_S255_L006_R2_001.fastq.gz
,HelaCtrl_2,/mnt/d/PI/nextflow/nxf-clone/data/in4611_61_S256_L006_R1_001.fastq.gz,/mnt/d/PI/nextflow/nxf-clone/data/in4611_61_S256_L006_R2_001.fastq.gz 
